cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
342,9986826911950,9986826991469,9986827075218,79.519,83.749,163.268,0
343,9986846911950,9986846991716,9986847075518,79.766,83.802,163.568,0
344,9986866911950,9986867020089,9986867103838,108.139,83.749,191.888,0
345,9986886911950,9986887023878,9986887119763,111.928,95.885,207.813,0
346,9986906911950,9986907027407,9986907112927,115.457,85.520,200.977,0
347,9986926911950,9986927022082,9986927107914,110.132,85.832,195.964,0
348,9986946911950,9986947004569,9986947088891,92.619,84.322,176.941,0
349,9986966911950,9986966989660,9986967073670,77.710,84.010,161.720,0
350,9986986911950,9986986981575,9986987044543,69.625,62.968,132.593,0
351,9987006911950,9987006980937,9987007043801,68.987,62.864,131.851,0
352,9987026911950,9987026982643,9987027045507,70.693,62.864,133.557,0
353,9987046911950,9987046981068,9987047044088,69.118,63.020,132.138,0
354,9987066911950,9987066981159,9987067044023,69.209,62.864,132.073,0
355,9987086911950,9987086987657,9987087071510,75.707,83.853,159.560,0
356,9987106911950,9987106987279,9987107071081,75.329,83.802,159.131,0
357,9987126911950,9987126991329,9987127075183,79.379,83.854,163.233,0
358,9987146911950,9987146995327,9987147079128,83.377,83.801,167.178,0
359,9987166911950,9987166993543,9987167077397,81.593,83.854,165.447,0
360,9987186911950,9987186987228,9987187070978,75.278,83.750,159.028,0
361,9987206911950,9987206991486,9987207075288,79.536,83.802,163.338,0
362,9987226911950,9987226995380,9987227079129,83.430,83.749,167.179,0
363,9987246911950,9987246993596,9987247077398,81.646,83.802,165.448,0
364,9987266911950,9987266994833,9987267078635,82.883,83.802,166.685,0
365,9987286911950,9987286991018,9987287074820,79.068,83.802,162.870,0
366,9987306911950,9987306990953,9987307074755,79.003,83.802,162.805,0
367,9987326911950,9987326992659,9987327076513,80.709,83.854,164.563,0
368,9987346911950,9987346993376,9987347077177,81.426,83.801,165.227,0
369,9987366911950,9987366993050,9987367076852,81.100,83.802,164.902,0
370,9987386911950,9987386990069,9987387073871,78.119,83.802,161.921,0
371,9987406911950,9987406992921,9987407076774,80.971,83.853,164.824,0
372,9987426911950,9987426992752,9987427076501,80.802,83.749,164.551,0
373,9987446911950,9987446990656,9987447074509,78.706,83.853,162.559,0
374,9987466911950,9987466993351,9987467077153,81.401,83.802,165.203,0
375,9987486911950,9987486990057,9987487073859,78.107,83.802,161.909,0
376,9987506911950,9987506989471,9987507073221,77.521,83.750,161.271,0
377,9987526911950,9987526992427,9987527076229,80.477,83.802,164.279,0
378,9987546911950,9987546991321,9987547075122,79.371,83.801,163.172,0
379,9987566911950,9987566993287,9987567077037,81.337,83.750,165.087,0
380,9987586911950,9987586990462,9987587074264,78.512,83.802,162.314,0
381,9987606911950,9987606993210,9987607076959,81.260,83.749,165.009,0
382,9987626911950,9987626990384,9987627074134,78.434,83.750,162.184,0
383,9987646911950,9987646992819,9987647076621,80.869,83.802,164.671,0
384,9987666911950,9987666992598,9987667076400,80.648,83.802,164.450,0
385,9987686911950,9987686991179,9987687074929,79.229,83.750,162.979,0
386,9987706911950,9987706993614,9987707077468,81.664,83.854,165.518,0
387,9987726911950,9987726992560,9987727076362,80.610,83.802,164.412,0
388,9987746911950,9987746992703,9987747076505,80.753,83.802,164.555,0
389,9987766911950,9987766992639,9987767076388,80.689,83.749,164.438,0
390,9987786911950,9987787002834,9987787086636,90.884,83.802,174.686,0
391,9987806911950,9987806993498,9987807077300,81.548,83.802,165.350,0
392,9987826911950,9987826989111,9987827072912,77.161,83.801,160.962,0
