cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
427,11309661827496,11309661887970,11309661923908,60.474,35.938,96.412,0
428,11309681827496,11309681889383,11309681925268,61.887,35.885,97.772,0
429,11309701827496,11309701888139,11309701924025,60.643,35.886,96.529,0
430,11309721827496,11309721927312,11309721970697,99.816,43.385,143.201,0
431,11309741827496,11309741896017,11309741932683,68.521,36.666,105.187,0
432,11309761827496,11309761895867,11309761931856,68.371,35.989,104.360,0
433,11309781827496,11309781889936,11309781925821,62.440,35.885,98.325,0
434,11309801827496,11309801889994,11309801925932,62.498,35.938,98.436,0
435,11309821827496,11309821889532,11309821925469,62.036,35.937,97.973,0
436,11309841827496,11309841889539,11309841925424,62.043,35.885,97.928,0
437,11309861827496,11309861889649,11309861925534,62.153,35.885,98.038,0
438,11309881827496,11309881889447,11309881925332,61.951,35.885,97.836,0
439,11309901827496,11309901890704,11309901926641,63.208,35.937,99.145,0
440,11309921827496,11309921889929,11309921925814,62.433,35.885,98.318,0
441,11309941827496,11309941919727,11309941955872,92.231,36.145,128.376,0
442,11309961827496,11309961893587,11309961929629,66.091,36.042,102.133,0
443,11309981827496,11309981889427,11309981925364,61.931,35.937,97.868,0
444,11310001827496,11310001889486,11310001925423,61.990,35.937,97.927,0
445,11310021827496,11310021898294,11310021934492,70.798,36.198,106.996,0
446,11310041827496,11310041890123,11310041926009,62.627,35.886,98.513,0
447,11310061827496,11310061891849,11310061927734,64.353,35.885,100.238,0
448,11310081827496,11310081889563,11310081925605,62.067,36.042,98.109,0
449,11310101827496,11310101889101,11310101924986,61.605,35.885,97.490,0
450,11310121827496,11310121889785,11310121925670,62.289,35.885,98.174,0
451,11310141827496,11310141889687,11310141925572,62.191,35.885,98.076,0
452,11310161827496,11310161889641,11310161925526,62.145,35.885,98.030,0
453,11310181827496,11310181889543,11310181925481,62.047,35.938,97.985,0
454,11310201827496,11310201889133,11310201925070,61.637,35.937,97.574,0
455,11310221827496,11310221889348,11310221925233,61.852,35.885,97.737,0
456,11310241827496,11310241889146,11310241925031,61.650,35.885,97.535,0
457,11310261827496,11310261889048,11310261924881,61.552,35.833,97.385,0
458,11310281827496,11310281888534,11310281924419,61.038,35.885,96.923,0
459,11310301827496,11310301888228,11310301924165,60.732,35.937,96.669,0
460,11310321827496,11310321888182,11310321924067,60.686,35.885,96.571,0
461,11310341827496,11310341888136,11310341924022,60.640,35.886,96.526,0
462,11310361827496,11310361888247,11310361924132,60.751,35.885,96.636,0
463,11310381827496,11310381889295,11310381925232,61.799,35.937,97.736,0
464,11310401827496,11310401888833,11310401924770,61.337,35.937,97.274,0
465,11310421827496,11310421888110,11310421923995,60.614,35.885,96.499,0
466,11310441827496,11310441888220,11310441924106,60.724,35.886,96.610,0
467,11310461827496,11310461888123,11310461924060,60.627,35.937,96.564,0
468,11310481827496,11310481888129,11310481924014,60.633,35.885,96.518,0
469,11310501827496,11310501888396,11310501924281,60.900,35.885,96.785,0
470,11310521827496,11310521888402,11310521924288,60.906,35.886,96.792,0
471,11310541827496,11310541888461,11310541924346,60.965,35.885,96.850,0
472,11310561827496,11310561888311,11310561924196,60.815,35.885,96.700,0
473,11310581827496,11310581887953,11310581923838,60.457,35.885,96.342,0
474,11310601827496,11310601888220,11310601924105,60.724,35.885,96.609,0
475,11310621827496,11310621888122,11310621924007,60.626,35.885,96.511,0
476,11310641827496,11310641889430,11310641925316,61.934,35.886,97.820,0
477,11310661827496,11310661888239,11310661924124,60.743,35.885,96.628,0
478,11310681827496,11310681888141,11310681924026,60.645,35.885,96.530,0
479,11310701827496,11310701888043,11310701923929,60.547,35.886,96.433,0
480,11310721827496,11310721888102,11310721923987,60.606,35.885,96.491,0
481,11310741827496,11310741888160,11310741924046,60.664,35.886,96.550,0
482,11310761827496,11310761906135,11310761942698,78.639,36.563,115.202,0
483,11310781827496,11310781897965,11310781934267,70.469,36.302,106.771,0
484,11310801827496,11310801892919,11310801928961,65.423,36.042,101.465,0
485,11310821827496,11310821889332,11310821925217,61.836,35.885,97.721,0
486,11310841827496,11310841889338,11310841925224,61.842,35.886,97.728,0
487,11310861827496,11310861889553,11310861925490,62.057,35.937,97.994,0
488,11310881827496,11310881889559,11310881925445,62.063,35.886,97.949,0
489,11310901827496,11310901889045,11310901924930,61.549,35.885,97.434,0
490,11310921827496,11310921889468,11310921925353,61.972,35.885,97.857,0
491,11310941827496,11310941916766,11310941953016,89.270,36.250,125.520,0
492,11310961827496,11310961892762,11310961928960,65.266,36.198,101.464,0
493,11310981827496,11310981889644,11310981925529,62.148,35.885,98.033,0
494,11311001827496,11311001889702,11311001925639,62.206,35.937,98.143,0
495,11311021827496,11311021889552,11311021925437,62.056,35.885,97.941,0
496,11311041827496,11311041889246,11311041925183,61.750,35.937,97.687,0
497,11311061827496,11311061889825,11311061925763,62.329,35.938,98.267,0
498,11311081827496,11311081889103,11311081924988,61.607,35.885,97.492,0
499,11311101827496,11311101889005,11311101924942,61.509,35.937,97.446,0
500,11311121827496,11311121890157,11311121926094,62.661,35.937,98.598,0
501,11311141827496,11311141889799,11311141925736,62.303,35.937,98.240,0
502,11311161827496,11311161889597,11311161925534,62.101,35.937,98.038,0
503,11311181827496,11311181889864,11311181925801,62.368,35.937,98.305,0
504,11311201827496,11311201889193,11311201925078,61.697,35.885,97.582,0
505,11311221827496,11311221889668,11311221925553,62.172,35.885,98.057,0
