cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
746,11400627589375,11400627597878,11400627633763,8.503,35.885,44.388,0
747,11400647589375,11400647597987,11400647633872,8.612,35.885,44.497,0
748,11400667589375,11400667597732,11400667633617,8.357,35.885,44.242,0
749,11400687589375,11400687597685,11400687633518,8.310,35.833,44.143,0
750,11400707589375,11400707597847,11400707633732,8.472,35.885,44.357,0
751,11400727589375,11400727599102,11400727635091,9.727,35.989,45.716,0
752,11400747589375,11400747598222,11400747634107,8.847,35.885,44.732,0
753,11400767589375,11400767598227,11400767634113,8.852,35.886,44.738,0
754,11400787589375,11400787597764,11400787633649,8.389,35.885,44.274,0
755,11400807589375,11400807598550,11400807634592,9.175,36.042,45.217,0
756,11400827589375,11400827598191,11400827634076,8.816,35.885,44.701,0
757,11400847589375,11400847598040,11400847633925,8.665,35.885,44.550,0
758,11400867589375,11400867597837,11400867633722,8.462,35.885,44.347,0
759,11400887589375,11400887598051,11400887633936,8.676,35.885,44.561,0
760,11400907589375,11400907598369,11400907634202,8.994,35.833,44.827,0
761,11400927589375,11400927597905,11400927633790,8.530,35.885,44.415,0
762,11400947589375,11400947606608,11400947642910,17.233,36.302,53.535,0
763,11400967589375,11400967599062,11400967634947,9.687,35.885,45.572,0
764,11400987589375,11400987598181,11400987634119,8.806,35.938,44.744,0
765,11401007589375,11401007598499,11401007634437,9.124,35.938,45.062,0
766,11401027589375,11401027597932,11401027633869,8.557,35.937,44.494,0
767,11401047589375,11401047598302,11401047634187,8.927,35.885,44.812,0
768,11401067589375,11401067598359,11401067634244,8.984,35.885,44.869,0
769,11401087589375,11401087598000,11401087633885,8.625,35.885,44.510,0
770,11401107589375,11401107597953,11401107633838,8.578,35.885,44.463,0
771,11401127589375,11401127598114,11401127634000,8.739,35.886,44.625,0
772,11401147589375,11401147597859,11401147633745,8.484,35.886,44.370,0
773,11401167589375,11401167597760,11401167633646,8.385,35.886,44.271,0
774,11401187589375,11401187597714,11401187633599,8.339,35.885,44.224,0
775,11401207589375,11401207597823,11401207633708,8.448,35.885,44.333,0
776,11401227589375,11401227622047,11401227658349,32.672,36.302,68.974,0
777,11401247589375,11401247607990,11401247644709,18.615,36.719,55.334,0
778,11401267589375,11401267598620,11401267634610,9.245,35.990,45.235,0
779,11401287589375,11401287598157,11401287634042,8.782,35.885,44.667,0
780,11401307589375,11401307598058,11401307633943,8.683,35.885,44.568,0
781,11401327589375,11401327598167,11401327634053,8.792,35.886,44.678,0
782,11401347589375,11401347599475,11401347635360,10.100,35.885,45.985,0
783,11401367589375,11401367598386,11401367634272,9.011,35.886,44.897,0
784,11401387589375,11401387598027,11401387633912,8.652,35.885,44.537,0
785,11401407589375,11401407598084,11401407633970,8.709,35.886,44.595,0
786,11401427589375,11401427598038,11401427633923,8.663,35.885,44.548,0
787,11401447589375,11401447603147,11401447639032,13.772,35.885,49.657,0
788,11401467589375,11401467598257,11401467634142,8.882,35.885,44.767,0
789,11401487589375,11401487598366,11401487634251,8.991,35.885,44.876,0
790,11401507589375,11401507598111,11401507634048,8.736,35.937,44.673,0
791,11401527589375,11401527598012,11401527633897,8.637,35.885,44.522,0
792,11401547589375,11401547598017,11401547633955,8.642,35.938,44.580,0
793,11401567589375,11401567597919,11401567633804,8.544,35.885,44.429,0
794,11401587589375,11401587597924,11401587633809,8.549,35.885,44.434,0
795,11401607589375,11401607598710,11401607634596,9.335,35.886,45.221,0
796,11401627589375,11401627597882,11401627633768,8.507,35.886,44.393,0
797,11401647589375,11401647597784,11401647633669,8.409,35.885,44.294,0
798,11401667589375,11401667597841,11401667633726,8.466,35.885,44.351,0
799,11401687589375,11401687597898,11401687633784,8.523,35.886,44.409,0
800,11401707589375,11401707597852,11401707633737,8.477,35.885,44.362,0
801,11401727589375,11401727599680,11401727635617,10.305,35.937,46.242,0
802,11401747589375,11401747597914,11401747633799,8.539,35.885,44.424,0
803,11401767589375,11401767598232,11401767634117,8.857,35.885,44.742,0
804,11401787589375,11401787598081,11401787633966,8.706,35.885,44.591,0
805,11401807589375,11401807597878,11401807633763,8.503,35.885,44.388,0
806,11401827589375,11401827598352,11401827634341,8.977,35.989,44.966,0
807,11401847589375,11401847597993,11401847633878,8.618,35.885,44.503,0
808,11401867589375,11401867598571,11401867634456,9.196,35.885,45.081,0
809,11401887589375,11401887598160,11401887634045,8.785,35.885,44.670,0
810,11401907589375,11401907598009,11401907633894,8.634,35.885,44.519,0
811,11401927589375,11401927597962,11401927634003,8.587,36.041,44.628,0
812,11401947589375,11401947608071,11401947644373,18.696,36.302,54.998,0
813,11401967589375,11401967599327,11401967635212,9.952,35.885,45.837,0
814,11401987589375,11401987598082,11401987633967,8.707,35.885,44.592,0
815,11402007589375,11402007598087,11402007633972,8.712,35.885,44.597,0
816,11402027589375,11402027597624,11402027633561,8.249,35.937,44.186,0
817,11402047589375,11402047597942,11402047633827,8.567,35.885,44.452,0
818,11402067589375,11402067597843,11402067633728,8.468,35.885,44.353,0
819,11402087589375,11402087598004,11402087633889,8.629,35.885,44.514,0
820,11402107589375,11402107597957,11402107633843,8.582,35.886,44.468,0
821,11402127589375,11402127597911,11402127633796,8.536,35.885,44.421,0
822,11402147589375,11402147597864,11402147633749,8.489,35.885,44.374,0
823,11402167589375,11402167598077,11402167633963,8.702,35.886,44.588,0
824,11402187589375,11402187598187,11402187634124,8.812,35.937,44.749,0
825,11402207589375,11402207598036,11402207633921,8.661,35.885,44.546,0
826,11402227589375,11402227597729,11402227633614,8.354,35.885,44.239,0
827,11402247589375,11402247618776,11402247655234,29.401,36.458,65.859,0
828,11402267589375,11402267622479,11402267668624,33.104,46.145,79.249,0
829,11402287589375,11402287599568,11402287635453,10.193,35.885,46.078,0
830,11402307589375,11402307598219,11402307634104,8.844,35.885,44.729,0
831,11402327589375,11402327598328,11402327634213,8.953,35.885,44.838,0
832,11402347589375,11402347598073,11402347633958,8.698,35.885,44.583,0
833,11402367589375,11402367598182,11402367634068,8.807,35.886,44.693,0
834,11402387589375,11402387598031,11402387633969,8.656,35.938,44.594,0
835,11402407589375,11402407598037,11402407633922,8.662,35.885,44.547,0
836,11402427589375,11402427597990,11402427633875,8.615,35.885,44.500,0
837,11402447589375,11402447598099,11402447633985,8.724,35.886,44.610,0
838,11402467589375,11402467597948,11402467633834,8.573,35.886,44.459,0
839,11402487589375,11402487598058,11402487633943,8.683,35.885,44.568,0
840,11402507589375,11402507598063,11402507633896,8.688,35.833,44.521,0
841,11402527589375,11402527597860,11402527633745,8.485,35.885,44.370,0
842,11402547589375,11402547597918,11402547633803,8.543,35.885,44.428,0
843,11402567589375,11402567598392,11402567634329,9.017,35.937,44.954,0
844,11402587589375,11402587597928,11402587633813,8.553,35.885,44.438,0
845,11402607589375,11402607598090,11402607633975,8.715,35.885,44.600,0
846,11402627589375,11402627597835,11402627633720,8.460,35.885,44.345,0
847,11402647589375,11402647598621,11402647634506,9.246,35.885,45.131,0
848,11402667589375,11402667597949,11402667633835,8.574,35.886,44.460,0
849,11402687589375,11402687598163,11402687634048,8.788,35.885,44.673,0
850,11402707589375,11402707598064,11402707633949,8.689,35.885,44.574,0
851,11402727589375,11402727597965,11402727633850,8.590,35.885,44.475,0
852,11402747589375,11402747597814,11402747633699,8.439,35.885,44.324,0
853,11402767589375,11402767597872,11402767633809,8.497,35.937,44.434,0
854,11402787589375,11402787597877,11402787633762,8.502,35.885,44.387,0
855,11402807589375,11402807598143,11402807634028,8.768,35.885,44.653,0
856,11402827589375,11402827597679,11402827633564,8.304,35.885,44.189,0
857,11402847589375,11402847597945,11402847633830,8.570,35.885,44.455,0
858,11402867589375,11402867602898,11402867638783,13.523,35.885,49.408,0
859,11402887589375,11402887597903,11402887633789,8.528,35.886,44.414,0
860,11402907589375,11402907597909,11402907633794,8.534,35.885,44.419,0
861,11402927589375,11402927597966,11402927633851,8.591,35.885,44.476,0
862,11402947589375,11402947606357,11402947642554,16.982,36.197,53.179,0
863,11402967589375,11402967599956,11402967635841,10.581,35.885,46.466,0
864,11402987589375,11402987598190,11402987634075,8.815,35.885,44.700,0
865,11403007589375,11403007598091,11403007633976,8.716,35.885,44.601,0
