cycle,scheduled_ns,start_ns,finish_ns,jitter_us,execution_us,response_us,deadline_miss
850,10502740387628,10502740421051,10502740504801,33.423,83.750,117.173,0
851,10502760387628,10502760403011,10502760486812,15.383,83.801,99.184,0
852,10502780387628,10502780409554,10502780493303,21.926,83.749,105.675,0
853,10502800387628,10502800409482,10502800493232,21.854,83.750,105.604,0
854,10502820387628,10502820409463,10502820493265,21.835,83.802,105.637,0
855,10502840387628,10502840419495,10502840503297,31.867,83.802,115.669,0
856,10502860387628,10502860411820,10502860495622,24.192,83.802,107.994,0
857,10502880387628,10502880406904,10502880490706,19.276,83.802,103.078,0
858,10502900387628,10502900409333,10502900493135,21.705,83.802,105.507,0
859,10502920387628,10502920408949,10502920492751,21.321,83.802,105.123,0
860,10502940387628,10502940418877,10502940502627,31.249,83.750,114.999,0
861,10502960387628,10502960418076,10502960502295,30.448,84.219,114.667,0
862,10502980387628,10502980409151,10502980492953,21.523,83.802,105.325,0
863,10503000387628,10503000407360,10503000491110,19.732,83.750,103.482,0
864,10503020387628,10503020407341,10503020491091,19.713,83.750,103.463,0
865,10503040387628,10503040408467,10503040492269,20.839,83.802,104.641,0
866,10503060387628,10503060410531,10503060494385,22.903,83.854,106.757,0
867,10503080387628,10503080407439,10503080491241,19.811,83.802,103.613,0
868,10503100387628,10503100410180,10503100493981,22.552,83.801,106.353,0
869,10503120387628,10503120410056,10503120493858,22.428,83.802,106.230,0
870,10503140387628,10503140409359,10503140493161,21.731,83.802,105.533,0
871,10503160387628,10503160410173,10503160493975,22.545,83.802,106.347,0
872,10503180387628,10503180409164,10503180492966,21.536,83.802,105.338,0
873,10503200387628,10503200409509,10503200493311,21.881,83.802,105.683,0
874,10503220387628,10503220409438,10503220493240,21.810,83.802,105.612,0
875,10503240387628,10503240409731,10503240493480,22.103,83.749,105.852,0
876,10503260387628,10503260465597,10503260550127,77.969,84.530,162.499,0
877,10503280387628,10503280425161,10503280509431,37.533,84.270,121.803,0
878,10503300387628,10503300432641,10503300578526,45.013,145.885,190.898,0
879,10503320387628,10503320416111,10503320500955,28.483,84.844,113.327,0
880,10503340387628,10503340403279,10503340487081,15.651,83.802,99.453,0
881,10503360387628,10503360399562,10503360462426,11.934,62.864,74.798,0
882,10503380387628,10503380399178,10503380462042,11.550,62.864,74.414,0
883,10503400387628,10503400399054,10503400461918,11.426,62.864,74.290,0
884,10503420387628,10503420398826,10503420461691,11.198,62.865,74.063,0
885,10503440387628,10503440398859,10503440461671,11.231,62.812,74.043,0
886,10503460387628,10503460399204,10503460462068,11.576,62.864,74.440,0
887,10503480387628,10503480401997,10503480485747,14.369,83.750,98.119,0
888,10503500387628,10503500402446,10503500486248,14.818,83.802,98.620,0
889,10503520387628,10503520406281,10503520490031,18.653,83.750,102.403,0
890,10503540387628,10503540410376,10503540494126,22.748,83.750,106.498,0
891,10503560387628,10503560420669,10503560504419,33.041,83.750,116.791,0
892,10503580387628,10503580410285,10503580494087,22.657,83.802,106.459,0
893,10503600387628,10503600407765,10503600491515,20.137,83.750,103.887,0
894,10503620387628,10503620409829,10503620493579,22.201,83.750,105.951,0
895,10503640387628,10503640411060,10503640494862,23.432,83.802,107.234,0
896,10503660387628,10503660420155,10503660503905,32.527,83.750,116.277,0
897,10503680387628,10503680410083,10503680493885,22.455,83.802,106.257,0
898,10503700387628,10503700410064,10503700493814,22.436,83.750,106.186,0
899,10503720387628,10503720409576,10503720493325,21.948,83.749,105.697,0
900,10503740387628,10503740409348,10503740493150,21.720,83.802,105.522,0
901,10503760387628,10503760410683,10503760494484,23.055,83.801,106.856,0
902,10503780387628,10503780409726,10503780493631,22.098,83.905,106.003,0
903,10503800387628,10503800406998,10503800490800,19.370,83.802,103.172,0
904,10503820387628,10503820406197,10503820489947,18.569,83.750,102.319,0
905,10503840387628,10503840405917,10503840489927,18.289,84.010,102.299,0
906,10503860387628,10503860412408,10503860496158,24.780,83.750,108.530,0
907,10503880387628,10503880409732,10503880493482,22.104,83.750,105.854,0
908,10503900387628,10503900409869,10503900493619,22.241,83.750,105.991,0
909,10503920387628,10503920407610,10503920491412,19.982,83.802,103.784,0
910,10503940387628,10503940409517,10503940493267,21.889,83.750,105.639,0
911,10503960387628,10503960418352,10503960502518,30.724,84.166,114.890,0
912,10503980387628,10503980410937,10503980494790,23.309,83.853,107.162,0
913,10504000387628,10504000407532,10504000491281,19.904,83.749,103.653,0
914,10504020387628,10504020402877,10504020486678,15.249,83.801,99.050,0
915,10504040387628,10504040407024,10504040490773,19.396,83.749,103.145,0
916,10504060387628,10504060409713,10504060493462,22.085,83.749,105.834,0
917,10504080387628,10504080408078,10504080491932,20.450,83.854,104.304,0
918,10504100387628,10504100409882,10504100493736,22.254,83.854,106.108,0
